"","date","coicop","values"
"1",2021-03-01,"FOOD",0.24
"2",2021-04-01,"FOOD",0.16
"3",2021-05-01,"FOOD",0.15
"4",2021-06-01,"FOOD",0.15
"5",2021-07-01,"FOOD",0.35
"6",2021-08-01,"FOOD",0.43
"7",2021-09-01,"FOOD",0.44
"8",2021-10-01,"FOOD",0.43
"9",2021-11-01,"FOOD",0.49
"10",2021-12-01,"FOOD",0.71
"11",2022-01-01,"FOOD",0.77
"12",2022-02-01,"FOOD",0.9
"13",2022-03-01,"FOOD",1.07
"14",2022-04-01,"FOOD",1.35
"15",2022-05-01,"FOOD",1.59
"16",2022-06-01,"FOOD",1.88
"17",2022-07-01,"FOOD",2.08
"18",2022-08-01,"FOOD",2.25
"19",2022-09-01,"FOOD",2.47
"20",2022-10-01,"FOOD",2.74
"21",2022-11-01,"FOOD",2.84
"22",2022-12-01,"FOOD",2.88
"23",2023-01-01,"FOOD",2.94
"24",2023-02-01,"FOOD",3.1
"25",2023-03-01,"FOOD",3.12
"26",2023-04-01,"FOOD",2.75
"27",2021-03-01,"IGD_NNRG",0.09
"28",2021-04-01,"IGD_NNRG",0.12
"29",2021-05-01,"IGD_NNRG",0.19
"30",2021-06-01,"IGD_NNRG",0.31
"31",2021-07-01,"IGD_NNRG",0.17
"32",2021-08-01,"IGD_NNRG",0.65
"33",2021-09-01,"IGD_NNRG",0.57
"34",2021-10-01,"IGD_NNRG",0.55
"35",2021-11-01,"IGD_NNRG",0.64
"36",2021-12-01,"IGD_NNRG",0.78
"37",2022-01-01,"IGD_NNRG",0.56
"38",2022-02-01,"IGD_NNRG",0.81
"39",2022-03-01,"IGD_NNRG",0.9
"40",2022-04-01,"IGD_NNRG",1.02
"41",2022-05-01,"IGD_NNRG",1.13
"42",2022-06-01,"IGD_NNRG",1.15
"43",2022-07-01,"IGD_NNRG",1.16
"44",2022-08-01,"IGD_NNRG",1.33
"45",2022-09-01,"IGD_NNRG",1.47
"46",2022-10-01,"IGD_NNRG",1.62
"47",2022-11-01,"IGD_NNRG",1.63
"48",2022-12-01,"IGD_NNRG",1.7
"49",2023-01-01,"IGD_NNRG",1.73
"50",2023-02-01,"IGD_NNRG",1.74
"51",2023-03-01,"IGD_NNRG",1.71
"52",2023-04-01,"IGD_NNRG",1.62
"53",2021-03-01,"NRG",0.43
"54",2021-04-01,"NRG",0.96
"55",2021-05-01,"NRG",1.19
"56",2021-06-01,"NRG",1.16
"57",2021-07-01,"NRG",1.34
"58",2021-08-01,"NRG",1.44
"59",2021-09-01,"NRG",1.63
"60",2021-10-01,"NRG",2.21
"61",2021-11-01,"NRG",2.57
"62",2021-12-01,"NRG",2.46
"63",2022-01-01,"NRG",2.8
"64",2022-02-01,"NRG",3.12
"65",2022-03-01,"NRG",4.35
"66",2022-04-01,"NRG",3.7
"67",2022-05-01,"NRG",3.87
"68",2022-06-01,"NRG",4.19
"69",2022-07-01,"NRG",4.02
"70",2022-08-01,"NRG",3.95
"71",2022-09-01,"NRG",4.19
"72",2022-10-01,"NRG",4.44
"73",2022-11-01,"NRG",3.82
"74",2022-12-01,"NRG",2.79
"75",2023-01-01,"NRG",2.17
"76",2023-02-01,"NRG",1.64
"77",2023-03-01,"NRG",-0.05
"78",2023-04-01,"NRG",0.37
"79",2021-03-01,"SERV",0.57
"80",2021-04-01,"SERV",0.37
"81",2021-05-01,"SERV",0.45
"82",2021-06-01,"SERV",0.28
"83",2021-07-01,"SERV",0.31
"84",2021-08-01,"SERV",0.43
"85",2021-09-01,"SERV",0.72
"86",2021-10-01,"SERV",0.86
"87",2021-11-01,"SERV",1.16
"88",2021-12-01,"SERV",1.02
"89",2022-01-01,"SERV",0.98
"90",2022-02-01,"SERV",1.04
"91",2022-03-01,"SERV",1.12
"92",2022-04-01,"SERV",1.38
"93",2022-05-01,"SERV",1.46
"94",2022-06-01,"SERV",1.42
"95",2022-07-01,"SERV",1.6
"96",2022-08-01,"SERV",1.62
"97",2022-09-01,"SERV",1.8
"98",2022-10-01,"SERV",1.82
"99",2022-11-01,"SERV",1.76
"100",2022-12-01,"SERV",1.83
"101",2023-01-01,"SERV",1.81
"102",2023-02-01,"SERV",2.02
"103",2023-03-01,"SERV",2.1
"104",2023-04-01,"SERV",2.21
