"","date","variable","value"
"1",1990-08-20,"GASREGW",1.191
"2",1990-08-27,"GASREGW",1.245
"3",1990-09-01,"MICH",4.7
"4",1990-09-03,"GASREGW",1.242
"5",1990-09-10,"GASREGW",1.252
"6",1990-09-17,"GASREGW",1.266
"7",1990-09-24,"GASREGW",1.272
"8",1990-10-01,"GASREGW",1.321
"9",1990-10-01,"MICH",4.8
"10",1990-10-08,"GASREGW",1.333
"11",1990-10-15,"GASREGW",1.339
"12",1990-10-22,"GASREGW",1.345
"13",1990-10-29,"GASREGW",1.339
"14",1990-11-01,"MICH",4.7
"15",1990-11-05,"GASREGW",1.334
"16",1990-11-12,"GASREGW",1.328
"17",1990-11-19,"GASREGW",1.323
"18",1990-11-26,"GASREGW",1.311
"19",1990-12-01,"MICH",4.7
"20",1990-12-03,"GASREGW",1.341
"21",1990-12-10,"GASREGW",NA
"22",1990-12-17,"GASREGW",NA
"23",1990-12-24,"GASREGW",NA
"24",1990-12-31,"GASREGW",NA
"25",1991-01-01,"MICH",3.9
"26",1991-01-07,"GASREGW",NA
"27",1991-01-14,"GASREGW",NA
"28",1991-01-21,"GASREGW",1.192
"29",1991-01-28,"GASREGW",1.168
"30",1991-02-01,"MICH",3.4
"31",1991-02-04,"GASREGW",1.139
"32",1991-02-11,"GASREGW",1.106
"33",1991-02-18,"GASREGW",1.078
"34",1991-02-25,"GASREGW",1.054
"35",1991-03-01,"MICH",3.3
"36",1991-03-04,"GASREGW",1.025
"37",1991-03-11,"GASREGW",1.045
"38",1991-03-18,"GASREGW",1.043
"39",1991-03-25,"GASREGW",1.047
"40",1991-04-01,"GASREGW",1.052
"41",1991-04-01,"MICH",3.2
"42",1991-04-08,"GASREGW",1.066
"43",1991-04-15,"GASREGW",1.069
"44",1991-04-22,"GASREGW",1.09
"45",1991-04-29,"GASREGW",1.104
"46",1991-05-01,"MICH",3.1
"47",1991-05-06,"GASREGW",1.113
"48",1991-05-13,"GASREGW",1.121
"49",1991-05-20,"GASREGW",1.129
"50",1991-05-27,"GASREGW",1.14
"51",1991-06-01,"MICH",3.3
"52",1991-06-03,"GASREGW",1.138
"53",1991-06-10,"GASREGW",1.135
"54",1991-06-17,"GASREGW",1.126
"55",1991-06-24,"GASREGW",1.114
"56",1991-07-01,"GASREGW",1.104
"57",1991-07-01,"MICH",3.1
"58",1991-07-08,"GASREGW",1.098
"59",1991-07-15,"GASREGW",1.094
"60",1991-07-22,"GASREGW",1.091
"61",1991-07-29,"GASREGW",1.091
"62",1991-08-01,"MICH",3.2
"63",1991-08-05,"GASREGW",1.099
"64",1991-08-12,"GASREGW",1.112
"65",1991-08-19,"GASREGW",1.124
"66",1991-08-26,"GASREGW",1.124
"67",1991-09-01,"MICH",3
"68",1991-09-02,"GASREGW",1.127
"69",1991-09-09,"GASREGW",1.12
"70",1991-09-16,"GASREGW",1.11
"71",1991-09-23,"GASREGW",1.097
"72",1991-09-30,"GASREGW",1.092
"73",1991-10-01,"MICH",3.2
"74",1991-10-07,"GASREGW",1.089
"75",1991-10-14,"GASREGW",1.084
"76",1991-10-21,"GASREGW",1.088
"77",1991-10-28,"GASREGW",1.091
"78",1991-11-01,"MICH",2.9
"79",1991-11-04,"GASREGW",1.091
"80",1991-11-11,"GASREGW",1.102
"81",1991-11-18,"GASREGW",1.104
"82",1991-11-25,"GASREGW",1.099
"83",1991-12-01,"MICH",2.7
"84",1991-12-02,"GASREGW",1.099
"85",1991-12-09,"GASREGW",1.091
"86",1991-12-16,"GASREGW",1.075
"87",1991-12-23,"GASREGW",1.063
"88",1991-12-30,"GASREGW",1.053
"89",1992-01-01,"MICH",2.7
"90",1992-01-06,"GASREGW",1.042
"91",1992-01-13,"GASREGW",1.026
"92",1992-01-20,"GASREGW",1.014
"93",1992-01-27,"GASREGW",1.006
"94",1992-02-01,"MICH",2.6
"95",1992-02-03,"GASREGW",0.995
"96",1992-02-10,"GASREGW",1.004
"97",1992-02-17,"GASREGW",1.011
"98",1992-02-24,"GASREGW",1.014
"99",1992-03-01,"MICH",2.6
"100",1992-03-02,"GASREGW",1.012
"101",1992-03-09,"GASREGW",1.013
"102",1992-03-16,"GASREGW",1.01
"103",1992-03-23,"GASREGW",1.015
"104",1992-03-30,"GASREGW",1.013
"105",1992-04-01,"MICH",3
"106",1992-04-06,"GASREGW",1.026
"107",1992-04-13,"GASREGW",1.051
"108",1992-04-20,"GASREGW",1.058
"109",1992-04-27,"GASREGW",1.072
"110",1992-05-01,"MICH",2.9
"111",1992-05-04,"GASREGW",1.089
"112",1992-05-11,"GASREGW",1.102
"113",1992-05-18,"GASREGW",1.118
"114",1992-05-25,"GASREGW",1.12
"115",1992-06-01,"GASREGW",1.128
"116",1992-06-01,"MICH",3.1
"117",1992-06-08,"GASREGW",1.143
"118",1992-06-15,"GASREGW",1.151
"119",1992-06-22,"GASREGW",1.153
"120",1992-06-29,"GASREGW",1.149
"121",1992-07-01,"MICH",2.7
"122",1992-07-06,"GASREGW",1.147
"123",1992-07-13,"GASREGW",1.139
"124",1992-07-20,"GASREGW",1.132
"125",1992-07-27,"GASREGW",1.128
"126",1992-08-01,"MICH",2.8
"127",1992-08-03,"GASREGW",1.126
"128",1992-08-10,"GASREGW",1.123
"129",1992-08-17,"GASREGW",1.116
"130",1992-08-24,"GASREGW",1.123
"131",1992-08-31,"GASREGW",1.121
"132",1992-09-01,"MICH",3
"133",1992-09-07,"GASREGW",1.121
"134",1992-09-14,"GASREGW",1.124
"135",1992-09-21,"GASREGW",1.123
"136",1992-09-28,"GASREGW",1.118
"137",1992-10-01,"MICH",2.8
"138",1992-10-05,"GASREGW",1.115
"139",1992-10-12,"GASREGW",1.115
"140",1992-10-19,"GASREGW",1.113
"141",1992-10-26,"GASREGW",1.113
"142",1992-11-01,"MICH",2.9
"143",1992-11-02,"GASREGW",1.12
"144",1992-11-09,"GASREGW",1.12
"145",1992-11-16,"GASREGW",1.112
"146",1992-11-23,"GASREGW",1.106
"147",1992-11-30,"GASREGW",1.098
"148",1992-12-01,"MICH",2.8
"149",1992-12-07,"GASREGW",1.089
"150",1992-12-14,"GASREGW",1.078
"151",1992-12-21,"GASREGW",1.074
"152",1992-12-28,"GASREGW",1.069
"153",1993-01-01,"MICH",2.9
"154",1993-01-04,"GASREGW",1.065
"155",1993-01-11,"GASREGW",1.066
"156",1993-01-18,"GASREGW",1.061
"157",1993-01-25,"GASREGW",1.055
"158",1993-02-01,"GASREGW",1.055
"159",1993-02-01,"MICH",3.2
"160",1993-02-08,"GASREGW",1.062
"161",1993-02-15,"GASREGW",1.053
"162",1993-02-22,"GASREGW",1.047
"163",1993-03-01,"GASREGW",1.042
"164",1993-03-01,"MICH",3.1
"165",1993-03-08,"GASREGW",1.048
"166",1993-03-15,"GASREGW",1.058
"167",1993-03-22,"GASREGW",1.056
"168",1993-03-29,"GASREGW",1.057
"169",1993-04-01,"MICH",3
"170",1993-04-05,"GASREGW",1.068
"171",1993-04-12,"GASREGW",1.079
"172",1993-04-19,"GASREGW",1.079
"173",1993-04-26,"GASREGW",1.086
"174",1993-05-01,"MICH",2.9
"175",1993-05-03,"GASREGW",1.086
"176",1993-05-10,"GASREGW",1.097
"177",1993-05-17,"GASREGW",1.106
"178",1993-05-24,"GASREGW",1.106
"179",1993-05-31,"GASREGW",1.107
"180",1993-06-01,"MICH",3.5
"181",1993-06-07,"GASREGW",1.104
"182",1993-06-14,"GASREGW",1.101
"183",1993-06-21,"GASREGW",1.095
"184",1993-06-28,"GASREGW",1.089
"185",1993-07-01,"MICH",3
"186",1993-07-05,"GASREGW",1.086
"187",1993-07-12,"GASREGW",1.081
"188",1993-07-19,"GASREGW",1.075
"189",1993-07-26,"GASREGW",1.069
"190",1993-08-01,"MICH",3.2
"191",1993-08-02,"GASREGW",1.062
"192",1993-08-09,"GASREGW",1.06
"193",1993-08-16,"GASREGW",1.059
"194",1993-08-23,"GASREGW",1.065
"195",1993-08-30,"GASREGW",1.062
"196",1993-09-01,"MICH",3
"197",1993-09-06,"GASREGW",1.055
"198",1993-09-13,"GASREGW",1.051
"199",1993-09-20,"GASREGW",1.045
"200",1993-09-27,"GASREGW",1.047
"201",1993-10-01,"MICH",3.3
"202",1993-10-04,"GASREGW",1.092
"203",1993-10-11,"GASREGW",1.09
"204",1993-10-18,"GASREGW",1.093
"205",1993-10-25,"GASREGW",1.092
"206",1993-11-01,"GASREGW",1.084
"207",1993-11-01,"MICH",2.8
"208",1993-11-08,"GASREGW",1.075
"209",1993-11-15,"GASREGW",1.064
"210",1993-11-22,"GASREGW",1.058
"211",1993-11-29,"GASREGW",1.051
"212",1993-12-01,"MICH",3
"213",1993-12-06,"GASREGW",1.036
"214",1993-12-13,"GASREGW",1.018
"215",1993-12-20,"GASREGW",1.003
"216",1993-12-27,"GASREGW",0.999
"217",1994-01-01,"MICH",2.8
"218",1994-01-03,"GASREGW",0.992
"219",1994-01-10,"GASREGW",0.995
"220",1994-01-17,"GASREGW",1.001
"221",1994-01-24,"GASREGW",0.999
"222",1994-01-31,"GASREGW",1.005
"223",1994-02-01,"MICH",2.8
"224",1994-02-07,"GASREGW",1.007
"225",1994-02-14,"GASREGW",1.016
"226",1994-02-21,"GASREGW",1.009
"227",1994-02-28,"GASREGW",1.004
"228",1994-03-01,"MICH",3
"229",1994-03-07,"GASREGW",1.007
"230",1994-03-14,"GASREGW",1.005
"231",1994-03-21,"GASREGW",1.007
"232",1994-03-28,"GASREGW",1.012
"233",1994-04-01,"MICH",3
"234",1994-04-04,"GASREGW",1.011
"235",1994-04-11,"GASREGW",1.028
"236",1994-04-18,"GASREGW",1.033
"237",1994-04-25,"GASREGW",1.037
"238",1994-05-01,"MICH",3.1
"239",1994-05-02,"GASREGW",1.04
"240",1994-05-09,"GASREGW",1.045
"241",1994-05-16,"GASREGW",1.046
