"","date","coicop","values"
"1",2023-04-01,"FOOD",2.75
"2",2023-04-01,"IGD_NNRG",1.62
"3",2023-04-01,"NRG",0.38
"4",2023-04-01,"SERV",2.21
"5",2023-03-01,"FOOD",3.12
"6",2023-03-01,"IGD_NNRG",1.71
"7",2023-03-01,"NRG",-0.05
"8",2023-03-01,"SERV",2.1
"9",2023-02-01,"FOOD",3.1
"10",2023-02-01,"IGD_NNRG",1.74
"11",2023-02-01,"NRG",1.64
"12",2023-02-01,"SERV",2.02
"13",2023-01-01,"FOOD",2.94
"14",2023-01-01,"IGD_NNRG",1.73
"15",2023-01-01,"NRG",2.17
"16",2023-01-01,"SERV",1.81
"17",2022-12-01,"FOOD",2.88
"18",2022-12-01,"IGD_NNRG",1.7
"19",2022-12-01,"NRG",2.79
"20",2022-12-01,"SERV",1.83
"21",2022-11-01,"FOOD",2.84
"22",2022-11-01,"IGD_NNRG",1.63
"23",2022-11-01,"NRG",3.82
"24",2022-11-01,"SERV",1.76
"25",2022-10-01,"FOOD",2.74
"26",2022-10-01,"IGD_NNRG",1.62
"27",2022-10-01,"NRG",4.44
"28",2022-10-01,"SERV",1.82
"29",2022-09-01,"FOOD",2.47
"30",2022-09-01,"IGD_NNRG",1.47
"31",2022-09-01,"NRG",4.19
"32",2022-09-01,"SERV",1.8
"33",2022-08-01,"FOOD",2.25
"34",2022-08-01,"IGD_NNRG",1.33
"35",2022-08-01,"NRG",3.95
"36",2022-08-01,"SERV",1.62
"37",2022-07-01,"FOOD",2.08
"38",2022-07-01,"IGD_NNRG",1.16
"39",2022-07-01,"NRG",4.02
"40",2022-07-01,"SERV",1.6
"41",2022-06-01,"FOOD",1.88
"42",2022-06-01,"IGD_NNRG",1.15
"43",2022-06-01,"NRG",4.19
"44",2022-06-01,"SERV",1.42
"45",2022-05-01,"FOOD",1.59
"46",2022-05-01,"IGD_NNRG",1.13
"47",2022-05-01,"NRG",3.87
"48",2022-05-01,"SERV",1.46
"49",2022-04-01,"FOOD",1.35
"50",2022-04-01,"IGD_NNRG",1.02
"51",2022-04-01,"NRG",3.7
"52",2022-04-01,"SERV",1.38
"53",2022-03-01,"FOOD",1.07
"54",2022-03-01,"IGD_NNRG",0.9
"55",2022-03-01,"NRG",4.35
"56",2022-03-01,"SERV",1.12
"57",2022-02-01,"FOOD",0.9
"58",2022-02-01,"IGD_NNRG",0.81
"59",2022-02-01,"NRG",3.12
"60",2022-02-01,"SERV",1.04
"61",2022-01-01,"FOOD",0.77
"62",2022-01-01,"IGD_NNRG",0.56
"63",2022-01-01,"NRG",2.8
"64",2022-01-01,"SERV",0.98
"65",2021-12-01,"FOOD",0.71
"66",2021-12-01,"IGD_NNRG",0.78
"67",2021-12-01,"NRG",2.46
"68",2021-12-01,"SERV",1.02
"69",2021-11-01,"FOOD",0.49
"70",2021-11-01,"IGD_NNRG",0.64
"71",2021-11-01,"NRG",2.57
"72",2021-11-01,"SERV",1.16
"73",2021-10-01,"FOOD",0.43
"74",2021-10-01,"IGD_NNRG",0.55
"75",2021-10-01,"NRG",2.21
"76",2021-10-01,"SERV",0.86
"77",2021-09-01,"FOOD",0.44
"78",2021-09-01,"IGD_NNRG",0.57
"79",2021-09-01,"NRG",1.63
"80",2021-09-01,"SERV",0.72
"81",2021-08-01,"FOOD",0.43
"82",2021-08-01,"IGD_NNRG",0.65
"83",2021-08-01,"NRG",1.44
"84",2021-08-01,"SERV",0.43
"85",2021-07-01,"FOOD",0.35
"86",2021-07-01,"IGD_NNRG",0.17
"87",2021-07-01,"NRG",1.34
"88",2021-07-01,"SERV",0.31
"89",2021-06-01,"FOOD",0.15
"90",2021-06-01,"IGD_NNRG",0.31
"91",2021-06-01,"NRG",1.16
"92",2021-06-01,"SERV",0.28
"93",2021-05-01,"FOOD",0.15
"94",2021-05-01,"IGD_NNRG",0.19
"95",2021-05-01,"NRG",1.19
"96",2021-05-01,"SERV",0.45
"97",2021-04-01,"FOOD",0.16
"98",2021-04-01,"IGD_NNRG",0.12
"99",2021-04-01,"NRG",0.96
"100",2021-04-01,"SERV",0.37
"101",2021-03-01,"FOOD",0.24
"102",2021-03-01,"IGD_NNRG",0.09
"103",2021-03-01,"NRG",0.43
"104",2021-03-01,"SERV",0.57
